direction,destination,destination_code,origin,origin_code,coverage,data_type,both_1990,male_1990,female_1990,both_1995,male_1995,female_1995,both_2000,male_2000,female_2000,both_2005,male_2005,female_2005,both_2010,male_2010,female_2010,both_2015,male_2015,female_2015,both_2020,male_2020,female_2020,both_2024,male_2024,female_2024
poles_abroad,World,900,Poland,616,,,2317607,1028400,1289207,2546193,1119311,1426882,2502866,1088739,1414127,2798776,1233639,1565137,3673715,1649559,2024156,4154666,1899544,2255122,4365879,2050156,2315723,4572613,2171567,2401046
poles_abroad,Sub-Saharan Africa,1834,Poland,616,,,5806,3008,2798,5358,2770,2588,4392,2184,2208,4643,2275,2368,5411,2631,2780,3696,1754,1942,2142,975,1167,2093,928,1165
poles_abroad,Northern Africa and Western Asia,1833,Poland,616,,,118161,54770,63391,107804,48697,59107,87476,38967,48509,69512,30704,38808,54708,23862,30846,56795,24584,32211,63141,26950,36191,66452,28068,38384
poles_abroad,Central and Southern Asia,1831,Poland,616,,,8115,3033,5082,7339,2825,4514,6383,2555,3828,5470,2214,3256,4502,1819,2683,3997,1602,2395,3846,1525,2321,3726,1470,2256
poles_abroad,Eastern and South-Eastern Asia,1832,Poland,616,,,734,376,358,1017,509,508,1277,637,640,1500,757,743,1757,895,862,2571,1347,1224,2602,1265,1337,2567,1210,1357
poles_abroad,Latin America and the Caribbean,1830,Poland,616,,,52445,24988,27457,38216,16934,21282,28393,11983,16410,20760,8633,12127,15222,6363,8859,10370,4317,6053,7843,3282,4561,8828,3566,5262
poles_abroad,Australia/New Zealand,1836,Poland,616,,,69806,35901,33905,73773,36410,37363,68826,32774,36052,65298,30024,35274,60865,26924,33941,56686,24533,32153,53286,22718,30568,48456,19736,28720
poles_abroad,Europe and Northern America,1829,Poland,616,,,2062540,906324,1156216,2312686,1011166,1301520,2306119,999639,1306480,2631593,1159032,1472561,3531250,1587065,1944185,4020551,1841407,2179144,4233019,1993441,2239578,4440491,2116589,2323902
poles_abroad,More developed regions,901,Poland,616,,,2132686,942376,1190310,2387011,1047818,1339193,2375668,1032731,1342937,2697731,1189430,1508301,3593084,1614421,1978663,4079031,1866853,2212178,4288171,2017048,2271123,4490703,2137151,2353552
poles_abroad,Less developed regions,902,Poland,616,,,184921,86024,98897,159182,71493,87689,127198,56008,71190,101045,44209,56836,80631,35138,45493,75635,32691,42944,77708,33108,44600,81910,34416,47494
poles_abroad,Least developed countries,941,Poland,616,,,,,,,,,,,,,,,,,,1,,1,,,,,,
poles_abroad,"Less developed regions, excluding least developed countries",934,Poland,616,,,184921,86024,98897,159182,71493,87689,127198,56008,71190,101045,44209,56836,80631,35138,45493,75634,32691,42943,77708,33108,44600,81910,34416,47494
poles_abroad,"Less developed regions, excluding China",948,Poland,616,,,184532,85802,98730,158721,71229,87492,126649,55692,70957,100392,43831,56561,79854,34683,45171,74871,32266,42605,76984,32741,44243,81112,34042,47070
poles_abroad,Land-locked Developing Countries (LLDC),1636,Poland,616,,,9581,3739,5842,8858,3579,5279,7957,3352,4605,6937,2964,3973,5862,2518,3344,5313,2280,3033,5189,2224,2965,5211,2242,2969
poles_abroad,Small Island Developing States (SIDS),1637,Poland,616,,,759,183,576,762,151,611,768,123,645,454,93,361,151,66,85,139,69,70,122,60,62,124,61,63
poles_abroad,High-and-upper-middle-income countries,5503,Poland,616,,,2305612,1023651,1281961,2534913,1114691,1420222,2492358,1084281,1408077,2789045,1229502,1559543,3664647,1645722,2018925,4147148,1896359,2250789,4356457,2046293,2310164,4563217,2167803,2395414
poles_abroad,Low-and-Lower-middle-income countries,5504,Poland,616,,,11192,4396,6796,10487,4271,6216,9729,4115,5614,8912,3775,5137,8198,3452,4746,6607,2789,3818,8564,3497,5067,8577,3415,5162
poles_abroad,High-income countries,1503,Poland,616,,,2213124,979421,1233703,2457467,1078753,1378714,2424404,1053356,1371048,2730349,1202815,1527534,3613141,1622243,1990898,4110328,1879739,2230589,4329619,2034333,2295286,4540013,2157739,2382274
poles_abroad,Low-and-middle-income countries,1859,Poland,616,,,103680,48626,55054,87933,40209,47724,77683,35040,42643,67608,30462,37146,59704,26931,32773,43427,19409,24018,35402,15457,19945,31781,13479,18302
poles_abroad,Middle-income countries,1517,Poland,616,,,103680,48626,55054,87933,40209,47724,77683,35040,42643,67608,30462,37146,59704,26931,32773,43427,19409,24018,35402,15457,19945,31781,13479,18302
poles_abroad,Upper-middle-income countries,1502,Poland,616,,,92488,44230,48258,77446,35938,41508,67954,30925,37029,58696,26687,32009,51506,23479,28027,36820,16620,20200,26838,11960,14878,23204,10064,13140
poles_abroad,Lower-middle-income countries,1501,Poland,616,,,11192,4396,6796,10487,4271,6216,9729,4115,5614,8912,3775,5137,8198,3452,4746,6607,2789,3818,8564,3497,5067,8577,3415,5162
poles_abroad,No income group available,1518,Poland,616,,,803,353,450,793,349,444,779,343,436,819,362,457,870,385,485,911,396,515,858,366,492,819,349,470
poles_abroad,AFRICA,903,Poland,616,,,7219,3828,3391,6563,3393,3170,5478,2654,2824,6073,2940,3133,7224,3433,3791,4372,2073,2299,4833,2024,2809,4827,1903,2924
poles_abroad,Northern Africa,912,Poland,616,,,1413,820,593,1205,623,582,1086,470,616,1430,665,765,1813,802,1011,676,319,357,2691,1049,1642,2734,975,1759
poles_abroad,Egypt,818,Poland,616,,B R,250,142,108,381,202,179,587,291,296,879,405,474,1208,514,694,,,,1968,699,1269,1970,605,1365
poles_abroad,Libya,434,Poland,616,,C R,1163,678,485,824,421,403,499,179,320,551,260,291,605,288,317,676,319,357,723,350,373,764,370,394
poles_abroad,Southern Africa,913,Poland,616,,,5772,2992,2780,5324,2752,2572,4354,2166,2188,4590,2248,2342,5372,2613,2759,3648,1732,1916,2090,950,1140,2035,900,1135
poles_abroad,Namibia,516,Poland,616,,B R,249,85,164,238,83,155,222,77,145,175,60,115,168,58,110,164,57,107,175,61,114,186,65,121
poles_abroad,South Africa,710,Poland,616,,B R,5523,2907,2616,5086,2669,2417,4132,2089,2043,4415,2188,2227,5204,2555,2649,3484,1675,1809,1915,889,1026,1849,835,1014
poles_abroad,Western Africa,914,Poland,616,,,34,16,18,34,18,16,38,18,20,53,27,26,39,18,21,48,22,26,52,25,27,58,28,30
poles_abroad,Ghana,288,Poland,616,,B R,34,16,18,34,18,16,38,18,20,53,27,26,39,18,21,47,22,25,52,25,27,58,28,30
poles_abroad,Guinea,324,Poland,616,,C B R,,,,,,,,,,,,,,,,1,,1,,,,,,
